soc_id	var_id	code	category	title	definition	pref_name_for_society	glottocode	Lat	Long	description	name	region	eco_id	eco_code
SCCS1	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Nama	nama1265	-27.5	17	Moderate	moderate	Southern Africa	PrecipitationPredictability	0.552160071
SCCS10	SCCS1263	2	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Luguru	lugu1238	-6.83	37.67	Low	low	East Tropical Africa	PrecipitationPredictability	0.707984455
SCCS100	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Tikopia	tiko1237	-12.29	168.83	High	high	Southwestern Pacific	PrecipitationPredictability	0.677857147
SCCS101	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Bunlap	saaa1241	-15.95	168.22	Moderate	moderate	Southwestern Pacific	PrecipitationPredictability	0.63279422
SCCS102	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Mbau Fijians	bauu1243	-18	178.58	Very Low	Very Low	Southwestern Pacific	PrecipitationPredictability	0.619671995
SCCS103	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Ajie	ajie1238	-21.33	165.67	Moderate	moderate	Southwestern Pacific	PrecipitationPredictability	0.566675423
SCCS104	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Māori	maor1246	-35.33	174.17	Very Low	Very Low	New Zealand	PrecipitationPredictability	0.621173695
SCCS105	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Marquesans	nort2845	-8.92	-140.17	Moderate	moderate	South-Central Pacific	PrecipitationPredictability	0.638503399
SCCS106	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Upolu Samoans	samo1305	-13.94	-171.77	Very Low	Very Low	Southwestern Pacific	PrecipitationPredictability	0.677829062
SCCS107	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Makin	bana1287	3.38	172.99	Moderate	moderate	Southwestern Pacific	PrecipitationPredictability	0.559455676
SCCS108	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Marshallese - Jaluit Atoll	rali1241	6.28	169.49	Moderate	moderate	Northwestern Pacific	PrecipitationPredictability	0.6959807
SCCS109	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Trukese	chuu1238	7.34	151.6	Very Low	Very Low	Northwestern Pacific	PrecipitationPredictability	0.697768963
SCCS11	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Kikuyu	kiku1240	-0.67	37.17	Moderate	moderate	East Tropical Africa	PrecipitationPredictability	0.669648678
SCCS110	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Yapese	yape1248	9.52	138.16	Moderate	moderate	Northwestern Pacific	PrecipitationPredictability	0.685111424
SCCS111	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Palauans	pala1344	7.5	134.5	Very Low	Very Low	Northwestern Pacific	PrecipitationPredictability	0.696421304
